| #   | Winery                    | Country     |
| --- | ------------------------- | ----------- |
| 1   | Antinori                  | Italy       |
| 2   | Penfolds                  | Australia   |
| 3   | Catena Zapata             | Argentina   |
| 4   | Concha y Toro             | Chile       |
| 5   | Torres                    | Spain       |
| 6   | Louis Jadot               | France      |
| 7   | Masi Agricola             | Italy       |
| 8   | Marchesi Frescobaldi      | Italy       |
| 9   | Santa Margherita          | Italy       |
| 10  | Ruffino                   | Italy       |
| 11  | Allegrini                 | Italy       |
| 12  | Planeta                   | Italy       |
| 13  | Donnafugata               | Italy       |
| 14  | Tignanello (Antinori)     | Italy       |
| 15  | Gaja                      | Italy       |
| 16  | Banfi                     | Italy       |
| 17  | Zenato                    | Italy       |
| 18  | Tommasi                   | Italy       |
| 19  | Bolla                     | Italy       |
| 20  | Cecchi                    | Italy       |
| 21  | Castello Banfi            | Italy       |
| 22  | Feudi di San Gregorio     | Italy       |
| 23  | Pasqua                    | Italy       |
| 24  | Zonin                     | Italy       |
| 25  | Lungarotti                | Italy       |
| 26  | Beringer                  | USA         |
| 27  | Robert Mondavi            | USA         |
| 28  | Kendall-Jackson           | USA         |
| 29  | Duckhorn                  | USA         |
| 30  | Stag's Leap Wine Cellars  | USA         |
| 31  | Caymus                    | USA         |
| 32  | Chateau Ste. Michelle     | USA         |
| 33  | Josh Cellars              | USA         |
| 34  | Bread & Butter            | USA         |
| 35  | Meiomi                    | USA         |
| 36  | Cloudy Bay                | New Zealand |
| 37  | Villa Maria               | New Zealand |
| 38  | Craggy Range              | New Zealand |
| 39  | Oyster Bay                | New Zealand |
| 40  | Kim Crawford              | New Zealand |
| 41  | Montes                    | Chile       |
| 42  | Santa Rita                | Chile       |
| 43  | Lapostolle                | Chile       |
| 44  | Errazuriz                 | Chile       |
| 45  | Casa Silva                | Chile       |
| 46  | Emiliana                  | Chile       |
| 47  | San Pedro                 | Chile       |
| 48  | Undurraga                 | Chile       |
| 49  | Casillero del Diablo      | Chile       |
| 50  | Tarapaca                  | Chile       |
| 51  | Trapiche                  | Argentina   |
| 52  | Luigi Bosca               | Argentina   |
| 53  | Norton                    | Argentina   |
| 54  | El Enemigo                | Argentina   |
| 55  | Zuccardi                  | Argentina   |
| 56  | Salentein                 | Argentina   |
| 57  | Bodega Colomé             | Argentina   |
| 58  | Rutini                    | Argentina   |
| 59  | Terrazas de los Andes     | Argentina   |
| 60  | Achaval Ferrer            | Argentina   |
| 61  | Louis Latour              | France      |
| 62  | Joseph Drouhin            | France      |
| 63  | Bouchard Père & Fils      | France      |
| 64  | Albert Bichot             | France      |
| 65  | Georges Duboeuf           | France      |
| 66  | Château d'Yquem           | France      |
| 67  | Château Margaux           | France      |
| 68  | Château Lafite Rothschild | France      |
| 69  | Château Mouton Rothschild | France      |
| 70  | Château Latour            | France      |
| 71  | Château Haut-Brion        | France      |
| 72  | Château Palmer            | France      |
| 73  | Château Lynch-Bages       | France      |
| 74  | E. Guigal                 | France      |
| 75  | M. Chapoutier             | France      |
| 76  | Paul Jaboulet Aîné        | France      |
| 77  | Famille Perrin            | France      |
| 78  | Domaine Laroche           | France      |
| 79  | Louis Bouillot            | France      |
| 80  | Veuve Clicquot            | France      |
| 81  | Moët & Chandon            | France      |
| 82  | Dom Pérignon              | France      |
| 83  | Bollinger                 | France      |
| 84  | Taittinger                | France      |
| 85  | Pol Roger                 | France      |
| 86  | Ruinart                   | France      |
| 87  | Krug                      | France      |
| 88  | Piper-Heidsieck           | France      |
| 89  | Graham's                  | Portugal    |
| 90  | Taylor's Port             | Portugal    |
| 91  | Fonseca                   | Portugal    |
| 92  | Niepoort                  | Portugal    |
| 93  | Esporão                   | Portugal    |
| 94  | Herdade do Esporão        | Portugal    |
| 95  | CVNE                      | Spain       |
| 96  | Marqués de Riscal         | Spain       |
| 97  | Marqués de Cáceres        | Spain       |
| 98  | La Rioja Alta             | Spain       |
| 99  | Vega Sicilia              | Spain       |
| 100 | Protos                    | Spain       |
| 101 | Domaine de la Romanée-Conti | France    |
| 102 | Château Pétrus            | France      |
| 103 | Château Cheval Blanc      | France      |
| 104 | Louis Roederer            | France      |
| 105 | Domaine Leroy             | France      |
| 106 | Domaine Leflaive          | France      |
| 107 | Château de Beaucastel     | France      |
| 108 | Domaine Zind-Humbrecht    | France      |
| 109 | Hugel & Fils              | France      |
| 110 | Gérard Bertrand           | France      |
| 111 | Tenuta San Guido          | Italy       |
| 112 | Tenuta dell'Ornellaia     | Italy       |
| 113 | Biondi-Santi              | Italy       |
| 114 | Casanova di Neri          | Italy       |
| 115 | Bruno Giacosa             | Italy       |
| 116 | Vietti                    | Italy       |
| 117 | Pio Cesare                | Italy       |
| 118 | Marchesi di Barolo        | Italy       |
| 119 | Ferrari Trento            | Italy       |
| 120 | San Marzano               | Italy       |
| 121 | Dominio de Pingus         | Spain       |
| 122 | Marqués de Murrieta       | Spain       |
| 123 | Bodegas Muga              | Spain       |
| 124 | Bodegas Roda              | Spain       |
| 125 | Álvaro Palacios           | Spain       |
| 126 | Bodegas Emilio Moro       | Spain       |
| 127 | Bodegas Numanthia         | Spain       |
| 128 | Opus One Winery           | USA         |
| 129 | Joseph Phelps Vineyards   | USA         |
| 130 | Ridge Vineyards           | USA         |
| 131 | Silver Oak Cellars        | USA         |
| 132 | Almaviva                  | Chile       |
| 133 | Sena                      | Chile       |
| 134 | Weingut Egon Müller       | Germany     |
| 135 | Weingut Dr. Loosen        | Germany     |
| 136 | Joh. Jos. Prüm            | Germany     |
| 137 | Weingut Robert Weil       | Germany     |
| 138 | Schloss Johannisberg      | Germany     |
| 139 | Weingut Bründlmayer       | Austria     |
| 140 | Henschke                  | Australia   |
| 141 | Torbreck Vintners         | Australia   |
| 142 | Felton Road               | New Zealand |
| 143 | Kanonkop Estate           | South Africa|
| 144 | Meerlust Estate           | South Africa|
| 145 | Quinta do Noval           | Portugal    |
| 146 | Beykush Winery            | Ukraine     |
| 147 | SHABO Winery              | Ukraine     |
| 148 | Kolonist Winery           | Ukraine     |
| 149 | Stakhovsky Wines          | Ukraine     |
| 150 | Father's Wine             | Ukraine     |
| 151 | Biologist Craft Winery    | Ukraine     |
| 152 | Chateau Chizay            | Ukraine     |
| 153 | Villa Tinta               | Ukraine     |
| 154 | Leleka Wines              | Ukraine     |
| 155 | Prince Trubetskoi         | Ukraine     |
